iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index
USA,North America,United States,12/20/20,17924558,187547,216764,317877,1495,2620.143,54152.31,566.603,654.871,960.346,4.517,7.916,21763,65.749,113601,343.203,234103387,1248371,707.255,3.771,1754488,5.301,556208,556208,,,,0.17,0.17,,,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/21/20,18123158,198600,217553.857,319664,1787,2663.286,54752.305,599.995,657.257,965.745,5.399,8.046,21884,66.114,115358,348.511,235572588,1469201,711.694,4.439,1751317,5.291,614117,614117,,57909,57909,0.19,0.19,,175,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/22/20,18320397,197239,215853,323037,3373,2707.714,55348.189,595.883,652.119,975.935,10.19,8.18,22213,67.108,117777,355.819,237488030,1915442,717.481,5.787,1752036,5.293,,,,,127432,,,,385,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/23/20,18549173,228776,213431.857,326391,3354,2662.286,56039.349,691.161,644.804,986.068,10.133,8.043,22489,67.942,119463,360.913,239668587,2180557,724.068,6.588,1775455,5.364,1008025,1008025,,,150606,0.3,0.3,,455,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/24/20,18742396,193223,206877,329258,2867,2593.857,56623.1,583.751,625.001,994.729,8.662,7.836,22623,68.347,120200,363.139,241493744,1825157,729.583,5.514,1751838,5.293,,,,,191001,,,,577,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/25/20,18839107,96711,184849.143,330434,1176,2362.571,56915.276,292.176,558.452,998.282,3.553,7.138,22418,67.728,118948,359.357,242555665,1061921,732.791,3.208,1623219,4.904,,,,,215238,,,,650,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/26/20,19065970,226863,189851.286,332075,1641,2241.857,57600.657,685.381,573.564,1003.24,4.958,6.773,22373,67.592,117344,354.511,243524796,969131,735.719,2.928,1524254,4.605,1944585,1944585,,,231396,0.59,0.59,,699,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/27/20,19221660,155690,185300.286,333289,1214,2201.714,58071.016,470.359,559.815,1006.907,3.668,6.652,22447,67.815,118720,358.668,244451308,926512,738.518,2.799,1478274,4.466,,,,,211379,,,,639,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/28/20,19395750,174090,181798.857,335130,1841,2209.429,58596.963,525.947,549.237,1012.469,5.562,6.675,22579,68.214,121202,366.166,245692910,1241602,742.269,3.751,1445760,4.368,2127143,2127143,,,216147,0.64,0.64,,653,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/29/20,19594697,198947,182042.857,338793,3663,2250.857,59198.007,601.044,549.974,1023.536,11.066,6.8,22838,68.996,124686,376.692,247489446,1796536,747.696,5.428,1428774,4.317,,,,,235685,,,,712,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/30/20,19826679,231982,182500.857,342542,3749,2307.286,59898.853,700.846,551.358,1034.862,11.326,6.971,23069,69.694,125220,378.305,249630613,2141167,754.165,6.469,1423147,4.3,2794588,2794588,,,255223,0.84,0.84,,771,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,12/31/20,20060595,233916,188314.143,345955,3413,2385.286,60605.543,706.689,568.92,1045.173,10.311,7.206,23097,69.779,125423,378.918,251499573,1868960,759.811,5.646,1429404,4.318,,,,,278776,,,,842,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/1/21,20212864,152269,196251,347978,2023,2506.286,61065.566,460.024,592.899,1051.285,6.112,7.572,23255,70.256,125047,377.782,252702735,1203162,763.446,3.635,1449581,4.379,,,,,302329,,,,913,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/2/21,20513236,300372,206752.286,350306,2328,2604.429,61973.027,907.461,624.624,1058.318,7.033,7.868,23133,69.888,123614,373.453,253764960,1062225,766.655,3.209,1462881,4.42,4225756,4225756,,,325882,1.28,1.28,,985,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/3/21,20721774,208538,214302,351653,1347,2623.429,62603.046,630.019,647.433,1062.387,4.069,7.926,23243,70.22,125562,379.338,254760918,995958,769.664,3.009,1472801,4.45,,,,,336949,,,,1018,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/4/21,20905422,183648,215667.429,353646,1993,2645.143,63157.87,554.823,651.558,1068.408,6.021,7.991,23435,70.8,128210,387.338,256073087,1312169,773.629,3.964,1482882,4.48,4563260,4563260,,,348017,1.38,1.38,,1051,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/5/21,21138800,233378,220586.143,357395,3749,2657.429,63862.933,705.064,666.418,1079.735,11.326,8.028,23509,71.024,131195,396.356,257897436,1824349,779.14,5.512,1486856,4.492,4836469,4836469,,273209,339372,1.46,1.46,,1025,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/6/21,21392562,253762,223697.571,361283,3888,2677.286,64629.58,766.646,675.818,1091.481,11.746,8.088,23708,71.625,132474,400.22,260065612,2168176,785.69,6.55,1490714,4.504,5306797,5306797,,470328,358887,1.6,1.6,,1084,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/7/21,21669164,276602,229795.571,365232,3949,2753.857,65465.229,835.649,694.241,1103.411,11.93,8.32,23821,71.966,132370,399.906,262176484,2110872,792.068,6.377,1525273,4.608,5919418,5919418,,612621,378253,1.79,1.79,,1143,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/8/21,21961102,291938,249748.286,369267,4035,3041.286,66347.21,881.981,754.521,1115.601,12.19,9.188,23912,72.241,131921,398.55,264195039,2018555,798.166,6.098,1641758,4.96,6688231,6688231,,768813,419933,2.02,2.02,,1269,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/9/21,22222998,261896,244251.714,372516,3249,3172.857,67138.43,791.22,737.915,1125.417,9.816,9.586,23718,71.655,130781,395.106,265828297,1633258,803.1,4.934,1723334,5.206,,,,,461263,,,,1394,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/10/21,22436213,213215,244919.857,374337,1821,3240.571,67782.579,644.149,739.933,1130.918,5.501,9.79,23640,71.419,129223,390.399,266935333,1107036,806.445,3.344,1739202,5.254,,,,,546636,,,,1651,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/11/21,22650066,213853,249234.857,376343,2006,3242.429,68428.655,646.076,752.969,1136.979,6.06,9.796,23501,70.999,129793,392.121,268352373,1417040,810.726,4.281,1754184,5.3,8987322,8987322,,,632009,2.72,2.72,,1909,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/12/21,22876216,226150,248202.286,380805,4462,3344.286,69111.882,683.227,749.85,1150.459,13.48,10.104,23881,72.147,131326,396.752,270226548,1874175,816.388,5.662,1761302,5.321,9327138,9327138,,339816,641524,2.82,2.82,,1938,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/13/21,23106002,229786,244777.143,384768,3963,3355,69806.094,694.212,739.502,1162.432,11.973,10.136,23857,72.075,130391,393.927,272163074,1936526,822.238,5.85,1728209,5.221,10278462,,,951324,710238,3.11,,,2146,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/14/21,23340866,234864,238814.571,388697,3929,3352.143,70515.648,709.553,721.488,1174.302,11.87,10.127,23891,72.178,128947,389.565,274086599,1923525,828.05,5.811,1701445,5.14,11148991,9690757,1342086,870529,747082,3.37,2.93,0.41,2257,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/15/21,23581461,240595,231479.857,392499,3802,3318.857,71242.515,726.867,699.329,1185.788,11.486,10.027,23593,71.277,127235,384.393,275965646,1879047,833.726,5.677,1681515,5.08,12279180,10595866,1610524,1130189,798707,3.71,3.2,0.49,2413,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/16/21,23782141,200680,222734.714,395851,3352,3333.571,71848.794,606.279,672.909,1195.915,10.127,10.071,23524,71.069,126139,381.082,277427080,1461434,838.142,4.415,1656969,5.006,,,,,811670,,,,2452,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/17/21,23959470,177329,217608.143,397600,1749,3323.286,72384.527,535.733,657.421,1201.199,5.284,10.04,23432,70.791,124387,375.789,278422748,995668,841.15,3.008,1641059,4.958,,,,,824632,,,,2491,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/18/21,24102019,142549,207421.857,399003,1403,3237.143,72815.185,430.658,626.647,1205.437,4.239,9.78,23226,70.169,123848,374.16,279495098,1072350,844.389,3.24,1591818,4.809,,,,,837595,,,,2530,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/19/21,24279011,176992,200399.286,401772,2769,2995.286,73349.9,534.715,605.431,1213.803,8.365,9.049,23029,69.573,123820,374.076,280936325,1441227,848.743,4.354,1529968,4.622,15707588,13595803,2023124,,911493,4.75,4.11,0.61,2754,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/20/21,24461543,182532,193648.714,406147,4375,3054.143,73901.352,551.452,585.037,1227.02,13.217,9.227,22809,68.909,122700,370.692,282428907,1492582,853.253,4.509,1466548,4.431,16525281,14270441,2161419,817693,892403,4.99,4.31,0.65,2696,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/21/21,24654566,193023,187671.429,410349,4202,3093.143,74484.498,583.146,566.979,1239.715,12.695,9.345,22309,67.398,119949,362.381,283521441,1092534,856.553,3.301,1347835,4.072,17546374,15053257,2394961,1021093,913912,5.3,4.55,0.72,2761,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/22/21,24844600,190034,180448.429,414107,3758,3086.857,75058.614,574.116,545.157,1251.069,11.353,9.326,22008,66.489,116264,351.248,,,,,,,19107959,16243093,2756953,1561585,975540,5.77,4.91,0.83,2947,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/23/21,25014756,170156,176087.857,417439,3332,3084,75572.677,514.062,531.983,1261.135,10.066,9.317,,,,,,,,,,,20537990,17390345,3027865,1430031,1057387,6.2,5.25,0.91,3194,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/24/21,25145947,131191,169496.714,419214,1775,3087.714,75969.021,396.344,512.071,1266.497,5.362,9.328,,,,,,,,,,,21848655,18502131,3216836,1310665,1122182,6.6,5.59,0.97,3390,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/25/21,25297059,151112,170720,421129,1915,3160.857,76425.549,456.528,515.766,1272.283,5.785,9.549,,,,,,,,,,,22734243,19252279,3346390,885588,1126251,6.87,5.82,1.01,3403,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924
USA,North America,United States,1/26/21,25439570,142511,165794.143,425119,3990,3335.286,76856.092,430.543,500.885,1284.337,12.054,10.076,,,,,,,,,,,23540994,19902237,3481921,806751,1119058,7.11,6.01,1.05,3381,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.924